Kochiae Fructus	DiFuZi	地肤子
Amomi Fructus	ShaRen	砂仁
Forsythiae Fructus	LianQiao	连翘
Chaenomelis Fructus	MuGua	木瓜
Mume Fructus	WuMei	乌梅
Gardeniae Fructus	ZhiZi	栀子
Cornifructus	ShanZhuYu	山茱萸
Semen Armeniacae Amarum	KuXingRen	苦杏仁
Schisandrae Chinensis Fructus	WuWeiZi	五味子
Persicae Semen	TaoRen	桃仁
Psoralea corylifolia	BuGuZhi	补骨脂
Rubi Fructus	FuPenZi	覆盆子
Foeniculi Fructus	XiaoHuiXiang	小茴香
Trichosanhes kirilowii	GuaLou	瓜蒌
Toosendan Fructus	ChuanLianZi	川楝子
Rosae Laevigatae Frucyus	JinYingZi	金樱子
Crataegi Fructus	ShanZha	山楂
Lycii Fructus	GouQiZi	枸杞子
Alpinia katsumadai Hayata	CaoDouKou	草豆蔻
Amomi Fructus Rotundus	BaiDouKou	白豆蔻
doukou	DouKou	豆蔻
